p_name,p_draftYear,p_draftPick,p_draftPos,Last Active Year,p_games,p_stats
Cheese Johnson,1980,,,1980,,
Chris Johnson,2011,,,2013,,
Chris Johnson,2013,,,2016,,
Clay Johnson,1982,,,1984,,
Clemon Johnson,1979,,,1988,,
Dakari Johnson,2018,48,,2018,,
Darryl Johnson,1996,1,,1996,,
Dave Johnson,1993,26,,1994,,
David Johnson,2022,47,,2022,,
DeMarco Johnson,2000,38,,2000,,
Dennis Johnson*,1977,,,1990,,
DerMarr Johnson,2001,6,,2008,,
Ed Johnson,1969,,,1971,,
Eddie Johnson,1978,,,1987,,
Eddie Johnson,1982,,,1999,,
Eric Johnson,1990,,,1990,,
Ervin Johnson,1994,23,,2006,,
Frank Johnson,1982,,,1994,,
George Johnson,1971,,,1974,,
George Johnson,1973,,,1986,,
George Johnson,1979,,,1986,,
Gus Johnson*,1964,,,1973,,
Harold Johnson,1947,,,1947,,
Ivan Johnson,2012,,,2013,,
JaJuan Johnson,2012,27,,2012,,
Jalen Johnson,2022,20,,2022,,
James Johnson,2010,16,,2022,,
Joe Johnson,2002,10,,2022,,
John Johnson,1971,,,1982,,
Kannard Johnson,1988,,,1988,,
Keldon Johnson,2020,29,,2022,,
Keldon Johnson,2020,21,,2022,,
Ken Johnson,1986,49,,1986,,
Ken Johnson,1986,21,,1986,,
Ken Johnson,2003,49,,2003,,
Ken Johnson,2003,21,,2003,,
Keon Johnson,2022,21,,2022,,
Keon Johnson,2022,49,,2022,,
Kevin Johnson,1988,,,2000,,
Larry Johnson,1978,1,,1978,,
Larry Johnson,1992,1,,2001,,
Lee Johnson,1981,,,1981,,
Linton Johnson,2004,,,2009,,
Magic Johnson*,1980,,,1996,,
Marques Johnson,1978,,,1990,,
Mickey Johnson,1975,,,1986,,
Neil Johnson,1967,,,1973,,
Nick Johnson,2015,42,,2015,,
Ollie Johnson,1973,,,1982,,
Omari Johnson,2018,,,2018,,
Orlando Johnson,2013,36,,2016,,
Ralph Johnson,1950,,,1953,,
Reggie Johnson,1981,,,1984,,
Rich Johnson,1969,,,1971,,
Ron Johnson,1961,,,1961,,
Stanley Johnson,2016,8,,2022,,
Steffond Johnson,1987,,,1987,,
Steve Johnson,1982,,,1991,,
Stew Johnson,1968,,,1976,,
Trey Johnson,2009,,,2012,,
Tyler Johnson,2015,,,2022,,
Vinnie Johnson,1980,,,1992,,
Wesley Johnson,2011,4,,2019,,
Darius Johnson-Odom,2013,55,,2014,,
Nate Johnston,1990,,,1990,,
Neil Johnston*,1952,,,1959,,
Jim Johnstone,1983,,,1983,,
Nikola Jokić,2016,41,,2022,,
Howie Jolliff,1961,,,1963,,
Alvin Jones,2002,57,,2002,,
Anthony Jones,1987,52,,1990,,
Askia Jones,1995,,,1995,,
Bill Jones,1989,,,1989,,
Bobby Jones*,1975,37,,1986,,
Bobby Jones,2007,37,,2008,,
Caldwell Jones,1974,,,1990,,
Carlik Jones,2022,,,2022,,
Charles Jones,1984,,,1998,,
Charles Jones,1985,,,1989,,
Charles Jones,1999,,,2000,,
Collis Jones,1972,,,1975,,
Dahntay Jones,2004,20,,2017,,
Damian Jones,2017,30,,2022,,
Damon Jones,1999,,,2009,,
DeQuan Jones,2013,,,2013,,
Derrick Jones Jr.,2017,,,2022,,
Dominique Jones,2011,25,,2013,,
Dontae' Jones,1998,21,,1998,,
Dwayne Jones,2006,,,2010,,
Dwight Jones,1974,,,1983,,
Earl Jones,1985,,,1986,,
Eddie Jones,1995,10,,2008,,
Edgar Jones,1981,,,1986,,
Fred Jones,2003,14,,2009,,
Herbert Jones,2022,35,,2022,,
Hutch Jones,1983,,,1984,,
Jake Jones,1972,,,1972,,
Jalen Jones,2018,,,2019,,
James Jones,2004,49,,2017,,
Jemerrio Jones,2019,,,2022,,
Jimmy Jones,1968,,,1977,,
Johnny Jones,1968,,,1969,,
Jumaine Jones,2000,27,,2007,,
K.C. Jones*,1959,,,1967,,
Kai Jones,2022,19,,2022,,
Kevin Jones,2013,,,2013,,
Larry Jones,1965,,,1974,,
Major Jones,1980,,,1985,,
Mark Jones,1984,,,1984,,
Mark Jones,2005,,,2005,,
Mason Jones,2021,,,2022,,
Nick Jones,1968,,,1973,,
Ozell Jones,1985,,,1986,,
Perry Jones,2013,28,,2015,,
Popeye Jones,1994,41,,2004,,
Rich Jones,1970,,,1977,,
Robin Jones,1977,,,1978,,
Sam Jones*,1958,,,1969,,
Shelton Jones,1989,,,1989,,
Solomon Jones,2007,33,,2014,,
Steve Jones,1968,,,1976,,
Terrence Jones,2013,18,,2019,,
Tre Jones,2021,41,,2022,,
Tyus Jones,2016,24,,2022,,
Wah Wah Jones,1950,,,1952,,
Wali Jones,1965,,,1976,,
Wil Jones,1970,,,1978,,
Willie Jones,1961,,,1965,,
Adonis Jordan,1994,42,,1999,,
Charles Jordan,1976,,,1976,,
DeAndre Jordan,2009,35,,2022,,
Eddie Jordan,1978,,,1984,,
Jerome Jordan,2012,44,,2015,,
Michael Jordan*,1985,,,2003,,
Reggie Jordan,1994,,,2000,,
Thomas Jordan,1993,,,1993,,
Walter Jordan,1981,,,1981,,
Phil Jordon,1957,,,1963,,
Johnny Jorgensen,1948,,,1949,,
Noble Jorgensen,1947,,,1953,,
Roger Jorgensen,1947,,,1947,,
Cory Joseph,2012,29,,2022,,
Garth Joseph,2001,,,2001,,
Kris Joseph,2013,51,,2013,,
Yvon Joseph,1986,,,1986,,
Kevin Joyce,1974,,,1976,,
Butch Joyner,1969,,,1969,,
Jeff Judkins,1979,,,1983,,
Mfiondu Kabengele,2020,27,,2021,,
Whitey Kachan,1949,,,1949,,
George Kaftan,1949,,,1953,,
Ed Kalafat,1955,,,1957,,
Georgios Kalaitzakis,2022,60,,2022,,
Chris Kaman,2004,6,,2016,,
Frank Kaminsky,2016,9,,2022,,
Ralph Kaplowitz,1947,,,1948,,
Jason Kapono,2004,31,,2012,,
Tony Kappen,1947,,,1947,,
Sergey Karasev,2014,19,,2016,,
Coby Karl,2008,,,2010,,
George Karl*,1974,,,1978,,
Ed Kasid,1947,,,1947,,
Mario Kasun,2005,41,,2006,,
Leo Katkaveck,1949,,,1950,,
Bob Kauffman,1969,,,1975,,
Sasha Kaun,2016,56,,2016,,
Wilbert Kautz,1947,,,1947,,
Clarence Kea,1981,,,1982,,
Mike Kearns,1955,,,1955,,
Tommy Kearns,1959,,,1959,,
Adam Keefe,1993,10,,2001,,
Harold Keeling,1986,,,1986,,
Bill Keller,1970,,,1976,,
Gary Keller,1968,,,1969,,
Ken Keller,1947,,,1947,,
Rich Kelley,1976,,,1986,,
Clark Kellogg,1983,,,1987,,
Arvesta Kelly,1968,,,1972,,
Jerry Kelly,1947,,,1948,,
Ryan Kelly,2014,48,,2017,,
Tom Kelly,1949,,,1949,,
Greg Kelser,1980,,,1985,,
Ben Kelso,1974,,,1974,,
Shawn Kemp,1990,,,2003,,
Tim Kempton,1987,,,1998,,
Frank Kendrick,1975,,,1975,,
Luke Kennard,2018,12,,2022,,
D.J. Kennedy,2012,,,2012,,
Goo Kennedy,1972,,,1977,,
Joe Kennedy,1969,,,1971,,
Pickles Kennedy,1961,,,1961,,
Larry Kenon,1974,,,1983,,
Billy Kenville,1954,,,1960,,
Jonathan Kerner,1999,,,1999,,
Red Kerr,1955,,,1966,,
Steve Kerr,1989,,,2003,,
Jack Kerris,1950,,,1953,,
Jerome Kersey,1985,,,2001,,
Tom Kerwin,1968,,,1968,,
Alec Kessler,1991,12,,1994,,
Lari Ketner,2000,49,,2001,,
Braxton Key,2022,,,2022,,
Julius Keye,1970,,,1975,,
Randolph Keys,1989,,,1996,,
Viktor Khryapa,2005,22,,2008,,
Jason Kidd*,1995,2,,2013,,
Stanton Kidd,2020,,,2020,,
Warren Kidd,1994,,,1994,,
Michael Kidd-Gilchrist,2013,2,,2020,,
Irv Kiffin,1980,,,1980,,
Jack Kiley,1952,,,1953,,
Earnie Killum,1971,,,1971,,
Carl Kilpatrick,1980,,,1980,,
Sean Kilpatrick,2015,,,2018,,
Toby Kimball,1967,,,1975,,
Bo Kimble,1991,8,,1993,,
Stan Kimbrough,1990,,,1993,,
Chad Kinch,1981,,,1981,,
Albert King,1982,,,1992,,
Bernard King*,1978,,,1993,,
Chris King,1994,45,,1999,,
Dan King,1955,,,1955,,
Frankie King,1996,37,,1997,,
George King,1952,59,,1958,,
George King,2019,59,,2022,,
Gerard King,1999,,,2001,,
Jim King,1964,,,1973,,
Jimmy King,1996,35,,1997,,
Louis King,2020,,,2022,,
Loyd King,1972,,,1973,,
Maurice King,1960,,,1963,,
Reggie King,1980,,,1985,,
Rich King,1992,14,,1995,,
Ron King,1974,,,1974,,
Stacey King,1990,,,1997,,
Tom King,1947,,,1947,,
Bob Kinney,1949,,,1950,,
Tarence Kinsey,2007,,,2009,,
Andrei Kirilenko,2002,24,,2015,,
Alex Kirk,2015,,,2015,,
Walt Kirk,1949,,,1952,,
Wilbur Kirkland,1970,,,1970,,
Corey Kispert,2022,15,,2022,,
Jim Kissane,1969,,,1969,,
Doug Kistler,1962,,,1962,,
Curtis Kitchen,1987,,,1987,,
Greg Kite,1984,,,1995,,
Kerry Kittles,1997,8,,2005,,
Maxi Kleber,2018,,,2022,,
Joe Kleine,1986,,,2000,,
Linas Kleiza,2006,27,,2013,,
Leo Klier,1949,,,1950,,
Herm Klotz,1948,,,1948,,
Duane Klueh,1950,,,1951,,
Lonnie Kluttz,1971,,,1971,,
Billy Knight,1975,,,1985,,
Bob Knight,1955,,,1955,,
Brandin Knight,2005,8,,2005,,
Brandin Knight,2005,8,,2005,,
Brandon Knight,2012,8,,2022,,
Brandon Knight,2012,8,,2022,,
Brevin Knight,1998,16,,2009,,
Nathan Knight,2021,,,2022,,
Negele Knight,1991,31,,1999,,
Ron Knight,1971,,,1972,,
Toby Knight,1978,,,1982,,
Travis Knight,1997,29,,2003,,
Lee Knorek,1947,,,1950,,
Dick Knostman,1954,,,1954,,
Rod Knowles,1969,,,1969,,
Kevin Knox,2019,9,,2022,,
Bart Kofoed,1988,,,1993,,
Don Kojis,1964,,,1975,,
Milo Komenich,1950,,,1950,,
Howard Komives,1965,,,1974,,
Jon Koncak,1986,,,1996,,
John Konchar,2020,,,2022,,
Tom Kondla,1969,,,1969,,
Bud Koper,1965,,,1965,,
Joe Kopicki,1983,,,1985,,
Furkan Korkmaz,2018,26,,2022,,
Frank Kornet,1990,,,1991,,
Luke Kornet,2018,,,2022,,
Yaroslav Korolev,2006,12,,2007,,
Kyle Korver,2004,51,,2020,,
Tony Koski,1969,,,1969,,
Len Kosmalski,1975,,,1976,,
Andy Kostecka,1949,,,1949,,
Harold Kottman,1947,,,1947,,
Kosta Koufos,2009,23,,2019,,
Tom Kozelko,1974,,,1976,,
Ronald Kozlicki,1968,,,1968,,
Arvid Kramer,1980,,,1980,,
Barry Kramer,1965,,,1970,,
Joel Kramer,1979,,,1983,,
Steven Kramer,1968,38,,1970,,
Dan Kraus,1949,,,1949,,
Herb Krautblatt,1949,,,1949,,
Viacheslav Kravtsov,2013,,,2014,,
Jim Krebs,1958,,,1964,,
Vit Krejci,2022,37,,2022,,
Wayne Kreklow,1981,,,1981,,
Tommy Kron,1967,,,1970,,
Tom Kropp,1976,,,1977,,
Nenad Krstić,2005,24,,2011,,
Larry Krystkowiak,1987,,,1997,,
Steve Kuberski,1970,,,1978,,
Leo Kubiak,1950,,,1950,,
Bruce Kuczenski,1984,,,1984,,
Frank Kudelka,1950,,,1953,,
John Kuester,1978,,,1980,,
Ray Kuka,1948,,,1949,,
Toni Kukoč*,1994,29,,2006,,
Arnoldas Kulboka,2022,55,,2022,,
Jonathan Kuminga,2022,7,,2022,,
Kevin Kunnert,1974,,,1982,,
Terry Kunze,1968,,,1968,,
Mitch Kupchak,1977,,,1986,,
C.J. Kupec,1976,,,1978,,
Rodions Kurucs,2019,40,,2021,,
Rob Kurz,2009,,,2009,,
Ibo Kutluay,2005,,,2005,,
Kyle Kuzma,2018,27,,2022,,
Ognjen Kuzmić,2014,52,,2015,,
Mindaugas Kuzminskas,2017,,,2018,,
Fred LaCour,1961,,,1963,,
Raef LaFrentz,1999,3,,2008,,
Tom LaGarde,1978,,,1985,,
Rusty LaRue,1998,,,2004,,
Rudy LaRusso,1960,,,1969,,
Zach LaVine,2015,13,,2022,,
Skal Labissière,2017,28,,2020,,
Reggie Lacefield,1969,,,1969,,
Edgar Lacey,1969,,,1969,,
Sam Lacey,1971,,,1983,,
Bob Lackey,1973,,,1974,,
Wendell Ladner,1971,,,1975,,
Christian Laettner,1993,3,,2005,,
Oliver Lafayette,2010,,,2010,,
Bill Laimbeer,1981,,,1994,,
Pete Lalich,1947,,,1947,,
Bo Lamar,1974,,,1977,,
Anthony Lamb,2021,,,2022,,
Doron Lamb,2013,42,,2014,,
Jeremy Lamb,2013,12,,2022,,
John Lambert,1976,,,1982,,
Jeff Lamp,1982,,,1989,,
Maciej Lampe,2004,30,,2006,,
Jim Lampley,1987,,,1987,,
Sean Lampley,2003,45,,2004,,
Jock Landale,2022,,,2022,,
Carl Landry,2008,31,,2016,,
Marcus Landry,2010,,,2010,,
Mark Landsberger,1978,,,1984,,
Jerome Lane,1989,,,1993,,
Andrew Lang,1989,,,2000,,
Antonio Lang,1995,29,,2000,,
James Lang,2007,48,,2007,,
Trajan Langdon,2000,11,,2002,,
Keith Langford,2008,,,2008,,
Romeo Langford,2020,14,,2022,,
Dan Langhi,2001,31,,2004,,
Bob Lanier*,1971,,,1984,,
Stu Lantz,1969,,,1976,,
Nicolás Laprovíttola,2017,,,2017,,
York Larese,1962,,,1962,,
Shane Larkin,2014,18,,2018,,
John Laskowski,1976,,,1977,,
Stéphane Lasme,2008,46,,2008,,
Dave Lattin,1968,,,1973,,
Priest Lauderdale,1997,28,,1998,,
Rich Laurel,1978,,,1978,,
Harry Laurie,1971,,,1971,,
Walt Lautenbach,1950,,,1950,,
Joffrey Lauvergne,2015,55,,2018,,
Tony Lavelli,1950,,,1951,,
Bob Lavoy,1951,,,1954,,
Acie Law,2008,11,,2011,,
Vic Law,2020,,,2020,,
Gani Lawal,2011,46,,2011,,
Edmund Lawrence,1981,,,1981,,
Jason Lawson,1998,41,,1998,,
Ty Lawson,2010,18,,2017,,
Jake Layman,2017,47,,2022,,
Mo Layton,1972,,,1978,,
Caris LeVert,2017,20,,2022,,
T.J. Leaf,2018,18,,2021,,
Manny Leaks,1969,,,1974,,
Hal Lear,1957,,,1957,,
Allen Leavell,1980,,,1989,,
Jeff Lebo,1990,,,1990,,
Eric Leckner,1989,,,1997,,
Jalen Lecque,2020,,,2021,,
Ricky Ledo,2014,43,,2015,,
Butch Lee,1979,,,1980,,
Clyde Lee,1967,,,1976,,
Courtney Lee,2009,22,,2020,,
Damion Lee,2018,,,2022,,
David Lee,1968,30,,1969,,
David Lee,2006,30,,2017,,
Dick Lee,1968,,,1968,,
Doug Lee,1992,,,1995,,
George Lee,1961,,,1968,,
Greg Lee,1975,,,1976,,
Keith Lee,1986,,,1989,,
Kurk Lee,1991,,,1991,,
Malcolm Lee,2012,43,,2015,,
Rock Lee,1982,,,1982,,
Ron Lee,1977,,,1982,,
Russ Lee,1973,,,1975,,
Saben Lee,2021,38,,2022,,
Ed Leede,1950,,,1951,,
Hank Lefkowitz,1947,,,1947,,
Tim Legler,1990,,,2000,,
George Lehmann,1968,,,1974,,
Barry Leibowitz,1968,,,1968,,
Walt Lemon Jr.,2018,,,2019,,
Alex Len,2014,5,,2022,,
Voshon Lenard,1996,46,,2006,,
Leary Lentz,1968,,,1969,,
Gary Leonard,1990,,,1992,,
Kawhi Leonard,2012,15,,2021,,
Meyers Leonard,2013,11,,2021,,
Slick Leonard*,1957,,,1963,,
Jim Les,1989,,,1995,,
Travis Leslie,2012,47,,2012,,
Ronnie Lester,1981,,,1986,,
Clifford Lett,1990,,,1991,,
Jon Leuer,2012,40,,2019,,
Andrew Levane,1949,,,1953,,
Fat Lever,1983,,,1994,,
Cliff Levingston,1983,,,1995,,
Bobby Lewis,1968,,,1971,,
Cedric Lewis,1996,,,1996,,
Freddie Lewis,1949,,,1950,,
Freddie Lewis,1967,,,1977,,
Grady Lewis,1947,,,1949,,
Kira Lewis Jr.,2021,13,,2022,,
Martin Lewis,1996,50,,1997,,
Mike Lewis,1969,,,1974,,
Quincy Lewis,2000,19,,2004,,
Ralph Lewis,1988,,,1990,,
Rashard Lewis,1999,32,,2014,,
Reggie Lewis,1988,,,1993,,
Scottie Lewis,2022,56,,2022,,
Marcus Liberty,1991,42,,1994,,
Todd Lichti,1990,,,1994,,
DeAndre Liggins,2012,53,,2018,,
Bill Ligon,1975,,,1975,,
Goose Ligon,1968,,,1974,,
Damian Lillard,2013,6,,2022,,
Jeremy Lin,2011,,,2019,,
Steve Lingenfelter,1983,,,1984,,
Alton Lister,1982,,,1998,,
Nassir Little,2020,25,,2022,,
Samuel Little,1970,,,1970,,
Gene Littles,1970,,,1975,,
Isaiah Livers,2022,42,,2022,,
Randy Livingston,1997,42,,2007,,
Shaun Livingston,2005,4,,2019,,
Ron Livingstone,1950,,,1951,,
Horacio Llamas,1997,,,1998,,
Bobby Lloyd,1968,,,1969,,
Chuck Lloyd,1971,,,1971,,
Earl Lloyd*,1951,,,1960,,
Lewis Lloyd,1982,,,1990,,
Scott Lloyd,1977,,,1983,,
Riney Lochmann,1968,,,1970,,
Bob Lochmueller,1953,,,1953,,
Rob Lock,1989,,,1989,,
Darrell Lockhart,1984,,,1984,,
Ian Lockhart,1991,,,1991,,
Kevin Loder,1982,,,1984,,
Don Lofgran,1951,,,1954,,
Zach Lofton,2019,,,2019,,
Henry Logan,1969,,,1970,,
John Logan,1947,,,1951,,
Brad Lohaus,1988,,,1998,,
Art Long,2001,,,2003,,
Grant Long,1989,,,2003,,
John Long,1979,,,1997,,
Paul Long,1968,,,1971,,
Shawn Long,2017,,,2017,,
Willie Long,1972,,,1974,,
Luc Longley,1992,7,,2001,,
Kevon Looney,2016,30,,2022,,
Brook Lopez,2009,10,,2022,,
Felipe López,1999,24,,2002,,
Raül López,2004,24,,2005,,
Robin Lopez,2009,15,,2022,,
Ryan Lorthridge,1995,,,1995,,
Jim Loscutoff,1956,,,1964,,
Plummer Lott,1968,,,1969,,
Kevin Loughery,1963,,,1973,,
Didi Louzada,2021,35,,2022,,
Bob Love,1967,,,1977,,
Kevin Love,2009,5,,2022,,
Stan Love,1972,,,1975,,
Clyde Lovellette*,1954,,,1964,,
Sidney Lowe,1984,,,1990,,
Charlie Lowery,1972,,,1972,,
Kyle Lowry,2007,24,,2022,,
Jordan Loyd,2019,,,2019,,
Al Lucas,1949,,,1949,,
Jerry Lucas*,1964,,,1974,,
John Lucas,1977,,,1990,,
Kalin Lucas,2015,,,2019,,
Maurice Lucas,1975,,,1988,,
John Lucas III,2006,,,2017,,
Ted Luckenbill,1962,,,1963,,
Tyronn Lue,1999,23,,2009,,
Jim Luisi,1954,,,1954,,
Al Lujack,1947,,,1947,,
Phil Lumpkin,1975,,,1976,,
Ray Lumpp,1949,,,1953,,
Gabriel Lundberg,2022,,,2022,,
Timothé Luwawu-Cabarrot,2017,24,,2022,,
Tyler Lydon,2018,24,,2019,,
Trey Lyles,2016,12,,2022,,
R.B. Lynam,1968,,,1968,,
George Lynch,1994,12,,2005,,
Kevin Lynch,1992,28,,1993,,
Lonnie Lynn,1970,,,1970,,
Mike Lynn,1970,,,1971,,
Sheldon Mac,2017,34,,2017,,
Todd MacCulloch,2000,47,,2003,,
Ronnie MacGilvray,1955,,,1955,,
Don MacLean,1993,19,,2001,,
Mike Macaluso,1974,,,1974,,
Ed Macauley*,1950,,,1959,,
Scott Machado,2013,,,2019,,
Arvydas Macijauskas,2006,,,2006,,
Ollie Mack,1980,,,1982,,
Sam Mack,1993,,,2002,,
Shelvin Mack,2012,34,,2019,,
Malcolm Mackey,1994,27,,1994,,
Rudy Macklin,1982,,,1984,,
Vernon Macklin,2012,52,,2012,,
Johnny Macknowski,1950,,,1951,,
Daryl Macon,2019,,,2020,,
Mark Macon,1992,8,,1999,,
J.P. Macura,2019,,,2020,,
Kyle Macy,1981,,,1987,,
Jack Maddox,1949,,,1949,,
Tito Maddox,2003,38,,2003,,
Gerald Madkins,1994,,,1998,,
Mark Madsen,2001,29,,2009,,
Norm Mager,1951,,,1951,,
Josh Magette,2018,,,2020,,
Corey Maggette,2000,13,,2013,,
Dave Magley,1983,,,1983,,
Jamaal Magloire,2001,19,,2012,,
Will Magnay,2021,,,2021,,
Randolph Mahaffey,1968,,,1971,,
Ian Mahinmi,2008,28,,2020,,
John Mahnken,1947,,,1953,,
Brian Mahoney,1973,,,1973,,
Mo Mahoney,1953,,,1954,,
Rick Mahorn,1981,,,1999,,
Dan Majerle,1989,,,2002,,
Renaldo Major,2007,,,2007,,
Thon Maker,2017,10,,2021,,
Lionel Malamed,1949,,,1949,,
Théo Maledon,2021,34,,2022,,
Jeff Malone,1984,,,1996,,
Karl Malone*,1986,,,2004,,
Moses Malone*,1975,,,1995,,
Matt Maloney,1997,,,2003,,
Steve Malovic,1980,,,1980,,
Mike Maloy,1971,,,1973,,
Sandro Mamukelashvili,2022,54,,2022,,
Ted Manakas,1974,,,1974,,
John Mandic,1949,,,1950,,
Karim Mané,2021,,,2021,,
Frank Mangiapane,1947,,,1947,,
Terance Mann,2020,48,,2022,,
Tre Mann,2022,18,,2022,,
Danny Manning,1989,,,2003,,
Ed Manning,1968,,,1976,,
Guy Manning,1968,,,1969,,
Rich Manning,1996,40,,1997,,
Nico Mannion,2021,48,,2021,,
Pace Mannion,1984,,,1989,,
Nick Mantis,1960,,,1963,,
Pete Maravich*,1971,,,1980,,
Press Maravich,1947,,,1947,,
Devyn Marble,2015,56,,2016,,
Roy Marble,1990,,,1994,,
Stephon Marbury,1997,4,,2009,,
Šarūnas Marčiulionis*,1990,,,1997,,
Saul Mariaschin,1948,,,1948,,
Jack Marin,1967,,,1977,,
Shawn Marion,2000,9,,2015,,
Boban Marjanović,2016,,,2022,,
Lauri Markkanen,2018,7,,2022,,
Damir Markota,2007,59,,2007,,
Sean Marks,1999,44,,2011,,
Harvey Marlatt,1971,,,1973,,
Jim Marsh,1972,,,1972,,
Ricky Marsh,1978,,,1978,,
Donny Marshall,1996,39,,2003,,
Donyell Marshall,1995,4,,2009,,
Kendall Marshall,2013,13,,2016,,
Naji Marshall,2021,,,2022,,
Rawle Marshall,2006,,,2007,,
Tom Marshall,1955,,,1959,,
Vester Marshall,1974,,,1974,,
Bill Martin,1986,40,,1988,,
Bob Martin,1994,,,1995,,
Brian Martin,1986,,,1986,,
Caleb Martin,2020,,,2022,,
Cartier Martin,2009,,,2015,,
Cody Martin,2020,36,,2022,,
Cuonzo Martin,1996,57,,1997,,
Darrick Martin,1995,,,2008,,
Dino Martin,1947,,,1948,,
Don Martin,1947,,,1949,,
Fernando Martín,1987,,,1987,,
Jarell Martin,2016,25,,2019,,
Jeff Martin,1990,,,1991,,
Jeremiah Martin,2020,,,2021,,
Kelan Martin,2020,,,2022,,
Kenyon Martin,2001,1,,2015,,
Kenyon Martin,2001,52,,2015,,
Kenyon Martin Jr.,2021,52,,2022,,
Kenyon Martin Jr.,2021,1,,2022,,
Kevin Martin,2005,26,,2016,,
LaRue Martin,1973,,,1976,,
Maurice Martin,1987,,,1988,,
Phil Martin,1955,,,1955,,
Slater Martin*,1950,,,1960,,
Whitey Martin,1962,,,1962,,
Jamal Mashburn,1994,4,,2004,,
Al Masino,1953,,,1954,,
Anthony Mason,1990,,,2003,,
Desmond Mason,2001,17,,2010,,
Frank Mason III,2018,34,,2021,,
Roger Mason,2003,31,,2014,,
Tony Massenburg,1991,43,,2005,,
Eddie Mast,1971,,,1973,,
Yante Maten,2019,,,2019,,
Garrison Mathews,2020,,,2022,,
Mangok Mathiang,2018,,,2018,,
Dakota Mathias,2021,,,2022,,
Johnny Mathis,1968,,,1968,,
Wes Matthews,1981,,,1990,,
Wesley Matthews,2010,,,2022,,
Ariel Maughan,1947,,,1951,,
Marlon Maxey,1993,28,,1994,,
Tyrese Maxey,2021,21,,2022,,
Jason Maxiell,2006,26,,2015,,
Cedric Maxwell,1978,,,1988,,
Vernon Maxwell,1989,,,2001,,
Don May,1969,,,1975,,
Scott May,1977,,,1983,,
Sean May,2006,13,,2010,,
Lee Mayberry,1993,23,,1999,,
Clyde Mayes,1976,,,1977,,
Tharon Mayes,1992,,,1992,,
Bill Mayfield,1981,,,1981,,
Ken Mayfield,1976,,,1976,,
Eric Maynor,2010,20,,2014,,
O.J. Mayo,2009,3,,2016,,
Skylar Mays,2021,50,,2022,,
Travis Mays,1991,14,,1993,,
Matt Mazza,1950,,,1950,,
Luc Mbah a Moute,2009,37,,2020,,
Bob McAdoo*,1973,,,1986,,
James Michael McAdoo,2015,,,2018,,
Ken McBride,1955,,,1955,,
Miles McBride,2022,36,,2022,,
Tahjere McCall,2019,,,2019,,
Ray McCallum,2014,36,,2016,,
Bob McCann,1990,,,1998,,
Brendan McCann,1958,,,1960,,
Mel McCants,1990,,,1990,,
Rashad McCants,2006,14,,2009,,
Mike McCarron,1947,,,1950,,
Andre McCarter,1977,,,1981,,
Willie McCarter,1970,,,1972,,
Johnny McCarthy,1957,,,1964,,
Howie McCarty,1947,,,1947,,
Kelly McCarty,1999,,,1999,,
Walter McCarty,1997,19,,2006,,
Amal McCaskill,1997,49,,2004,,
Patrick McCaw,2017,38,,2021,,
Dwayne McClain,1986,,,1986,,
Ted McClain,1972,,,1979,,
Dan McClintock,2001,53,,2001,,
Jack McCloskey,1953,,,1953,,
George McCloud,1990,,,2002,,
Mac McClung,2022,,,2022,,
CJ McCollum,2014,10,,2022,,
John McConathy,1952,,,1952,,
Bucky McConnell,1953,,,1953,,
T.J. McConnell,2016,,,2022,,
Keith McCord,1981,,,1981,,
Tim McCormick,1985,,,1992,,
Jelani McCoy,1999,33,,2008,,
Paul McCracken,1973,,,1977,,
Chris McCray,2007,,,2007,,
Rodney McCray,1984,,,1993,,
Scooter McCray,1984,,,1987,,
Erik McCree,2018,,,2018,,
Chris McCullough,2016,29,,2018,,
John McCullough,1982,,,1982,,
Clint McDaniel,1996,,,1996,,
Xavier McDaniel,1986,,,1998,,
Jaden McDaniels,2021,28,,2022,,
Jaden McDaniels,2021,52,,2022,,
Jalen McDaniels,2020,52,,2022,,
Jalen McDaniels,2020,28,,2022,,
Jim McDaniels,1972,,,1978,,
K.J. McDaniels,2015,32,,2017,,
Doug McDermott,2015,11,,2022,,
Sean McDermott,2021,,,2021,,
Ben McDonald,1986,,,1989,,
Glenn McDonald,1975,,,1977,,
Michael McDonald,1998,55,,1998,,
Roderick McDonald,1971,,,1973,,
Hank McDowell,1982,,,1987,,
Antonio McDyess,1996,2,,2011,,
Jim McElroy,1976,,,1982,,
Patrick McFarland,1974,,,1976,,
Ivan McFarlin,2007,,,2007,,
Mel McGaha,1949,,,1949,,
Mitch McGary,2015,21,,2016,,
JaVale McGee,2009,18,,2022,,
Mike McGee,1982,,,1990,,
Bill McGill,1963,,,1970,,
George McGinnis*,1972,,,1982,,
Jon McGlocklin,1966,,,1976,,
Tracy McGrady*,1998,9,,2012,,
Gil McGregor,1972,,,1972,,
Cameron McGriff,2022,,,2022,,
Elton McGriff,1968,,,1969,,
Rodney McGruder,2017,,,2022,,
Alfred McGuire*,1952,,,1955,,
Allie McGuire,1974,,,1974,,
Dick McGuire*,1950,,,1960,,
Dominic McGuire,2008,47,,2013,,
Kevin McHale*,1981,,,1993,,
Maurice McHartley,1968,,,1970,,
Jim McIlvaine,1995,32,,2001,,
Jeff McInnis,1997,37,,2008,,
Kenny McIntosh,1972,,,1975,,
Bob McIntyre,1968,,,1970,,
Jerry McKee,1970,,,1970,,
